product_id,product_name,category,subcategory,unit_price,unit_of_measure,is_perishable,supplier_id,cost_price,reorder_level
27,Amul Salted Butter 100g,Groceries,Dairy,58.0,Pack,True,1.0,34.8,76.0
28,Amul Pure Ghee 500ml,Groceries,Dairy,315.0,Jar,False,1.0,189.0,31.0
29,Patanjali Cow Ghee 1L,Groceries,Dairy,565.0,Jar,False,3.0,339.0,45.0
30,Amul Processed Cheese 200g,Groceries,Dairy,115.0,Pack,True,1.0,69.0,48.0
31,Amul Mozzarella Cheese 200g,Groceries,Dairy,195.0,Pack,True,1.0,117.0,78.0
32,Amul Taaza UHT Milk 1L,Groceries,Dairy,72.0,Carton,False,1.0,43.2,42.0
33,Amul Lassi 200ml,Groceries,Dairy,25.0,Pouch,True,1.0,15.0,43.0
34,Mother Dairy Buttermilk 500ml,Groceries,Dairy,22.0,Bottle,True,1.0,13.2,64.0
35,Milkmaid Condensed Milk 400g,Groceries,Dairy,155.0,Tin,False,5.0,93.0,38.0
36,Britannia Marie Gold 250g,Groceries,Snacks,30.0,Pack,False,6.0,18.0,33.0
37,Britannia Good Day Cashew 150g,Groceries,Snacks,40.0,Pack,False,6.0,24.0,50.0
38,Parle Hide & Seek 150g,Groceries,Snacks,38.0,Pack,False,6.0,22.8,26.0
39,Parle Monaco Crackers 200g,Groceries,Snacks,32.0,Pack,False,6.0,19.2,44.0
40,Parle-G Glucose Biscuits 500g,Groceries,Snacks,45.0,Pack,False,6.0,27.0,52.0
41,Haldirams Aloo Bhujia 400g,Groceries,Snacks,115.0,Pack,False,7.0,69.0,31.0
42,Haldirams Moong Dal Namkeen 200g,Groceries,Snacks,65.0,Pack,False,7.0,39.0,32.0
43,Lays Classic Salted 52g,Groceries,Snacks,20.0,Pack,False,4.0,12.0,59.0
44,Kurkure Masala Munch 90g,Groceries,Snacks,20.0,Pack,False,4.0,12.0,38.0
45,Bingo Mad Angles 90g,Groceries,Snacks,20.0,Pack,False,4.0,12.0,41.0
46,Maggi 2-Minute Noodles 280g,Groceries,Snacks,78.0,Pack,False,5.0,46.8,28.0
47,Sunfeast Yippee Noodles 280g,Groceries,Snacks,70.0,Pack,False,4.0,42.0,26.0
48,Act II Butter Popcorn 100g,Groceries,Snacks,55.0,Pack,False,4.0,33.0,30.0
49,Too Yumm Roasted Peanuts 200g,Groceries,Snacks,60.0,Pack,False,7.0,36.0,28.0
50,Haldirams Chivda Mix 400g,Groceries,Snacks,120.0,Pack,False,7.0,72.0,53.0
51,McVities Digestive Biscuits 250g,Groceries,Snacks,85.0,Pack,False,6.0,51.0,42.0
52,Oreo Cream Biscuits 300g,Groceries,Snacks,75.0,Pack,False,5.0,45.0,50.0
53,Quaker Rice Cakes 100g,Groceries,Snacks,110.0,Pack,False,5.0,66.0,58.0
54,Lijjat Khakhra Plain 200g,Groceries,Snacks,70.0,Pack,False,7.0,42.0,34.0
55,Lijjat Papad 200g,Groceries,Snacks,48.0,Pack,False,7.0,28.8,38.0
56,Tata Tea Premium 500g,Groceries,Beverages,220.0,Pack,False,4.0,132.0,55.0
57,Brooke Bond Red Label Tea 500g,Groceries,Beverages,245.0,Pack,False,2.0,147.0,39.0
58,Lipton Green Tea 25 bags,Groceries,Beverages,125.0,Box,False,2.0,75.0,32.0
59,Nescafe Classic 50g,Groceries,Beverages,195.0,Jar,False,5.0,117.0,38.0
60,Bru Instant Coffee 100g,Groceries,Beverages,210.0,Jar,False,2.0,126.0,47.0
61,Horlicks Original 500g,Groceries,Beverages,295.0,Jar,False,2.0,177.0,45.0
62,Cadbury Bournvita 500g,Groceries,Beverages,285.0,Jar,False,4.0,171.0,40.0
63,Complan Chocolate 500g,Groceries,Beverages,325.0,Jar,False,2.0,195.0,42.0
64,Dabur Real Mango Juice 1L,Groceries,Beverages,135.0,Pack,False,9.0,81.0,48.0
65,Tropicana Orange Juice 1L,Groceries,Beverages,140.0,Pack,False,2.0,84.0,50.0
66,Paper Boat Aamras 250ml,Groceries,Beverages,30.0,Pack,False,7.0,18.0,49.0
67,Minute Maid Pulpy Orange 400ml,Groceries,Beverages,35.0,Bottle,False,2.0,21.0,53.0
68,Hamdard Rooh Afza 750ml,Groceries,Beverages,275.0,Bottle,False,7.0,165.0,39.0
69,Kissan Mixed Fruit Jam 500g,Groceries,Beverages,165.0,Jar,False,4.0,99.0,25.0
70,Raw Pressery Coconut Water 200ml,Groceries,Beverages,45.0,Tetra,False,7.0,27.0,49.0
71,Limca 750ml,Groceries,Beverages,40.0,Bottle,False,4.0,24.0,31.0
72,Thums Up 750ml,Groceries,Beverages,42.0,Bottle,False,4.0,25.2,33.0
73,Maaza Mango 600ml,Groceries,Beverages,40.0,Bottle,False,4.0,24.0,48.0
74,Frooti Mango 200ml,Groceries,Beverages,15.0,Pack,False,6.0,9.0,25.0
75,B Natural Pomegranate Juice 1L,Groceries,Beverages,145.0,Pack,False,9.0,87.0,32.0
76,MDH Chilli Powder 200g,Groceries,Spices,72.0,Pack,False,7.0,43.2,48.0
77,Everest Turmeric Powder 200g,Groceries,Spices,65.0,Pack,False,7.0,39.0,35.0
78,MDH Coriander Powder 200g,Groceries,Spices,58.0,Pack,False,7.0,34.8,41.0
79,Everest Cumin Seeds 100g,Groceries,Spices,48.0,Pack,False,7.0,28.8,32.0
80,MDH Garam Masala 100g,Groceries,Spices,85.0,Pack,False,7.0,51.0,59.0
81,Everest Chicken Masala 100g,Groceries,Spices,78.0,Pack,False,7.0,46.8,59.0
82,Shan Biryani Masala 50g,Groceries,Spices,95.0,Pack,False,7.0,57.0,57.0
83,Maggi Tamarind Paste 200g,Groceries,Spices,65.0,Pack,False,5.0,39.0,29.0
84,Kissan Tomato Ketchup 500g,Groceries,Spices,115.0,Bottle,False,4.0,69.0,52.0
85,Maggi Green Chilli Sauce 200g,Groceries,Spices,85.0,Bottle,False,5.0,51.0,31.0
86,Dr Oetker Mayonnaise 250g,Groceries,Spices,125.0,Jar,False,5.0,75.0,33.0
87,Frenchs Mustard Sauce 200g,Groceries,Spices,140.0,Bottle,False,5.0,84.0,32.0
88,Chings Soy Sauce 200ml,Groceries,Spices,70.0,Bottle,False,7.0,42.0,36.0
89,MDH Chaat Masala 100g,Groceries,Spices,55.0,Pack,False,7.0,33.0,58.0
90,Bragg Apple Cider Vinegar 500ml,Groceries,Spices,220.0,Bottle,False,5.0,132.0,57.0
91,Britannia Whole Wheat Bread 400g,Groceries,Bakery,48.0,Pack,True,6.0,28.8,62.0
92,Harvest Gold White Bread 400g,Groceries,Bakery,42.0,Pack,True,7.0,25.2,63.0
93,Bonn Multigrain Bread 400g,Groceries,Bakery,55.0,Pack,True,7.0,33.0,76.0
94,7 Days Butter Croissant 60g,Groceries,Bakery,25.0,Piece,True,6.0,15.0,74.0
95,Britannia Cake Gobbles Choco Chill 45g,Groceries,Bakery,15.0,45g Pack,False,6.0,54.0,46.0
96,Britannia Rusk Toast 300g,Groceries,Bakery,65.0,Pack,False,6.0,39.0,51.0
97,MTR Upma Mix 200g,Groceries,Bakery,65.0,Pack,False,7.0,39.0,59.0
98,MTR Poha Mix 200g,Groceries,Bakery,55.0,Pack,False,7.0,33.0,25.0
99,MTR Ready Idli Mix 500g,Groceries,Bakery,95.0,Pack,False,7.0,57.0,59.0
100,Kitchens of India Dal Makhani 300g,Groceries,Bakery,175.0,Pack,True,7.0,105.0,76.0
101,Surf Excel Matic 2kg,Household,Laundry,430.0,Pack,False,2.0,258.0,24.0
102,Ariel Front Load 2kg,Household,Laundry,465.0,Pack,False,2.0,279.0,23.0
103,Tide Plus 3kg,Household,Laundry,390.0,Pack,False,2.0,234.0,12.0
104,Wheel Active 4kg,Household,Laundry,195.0,Pack,False,2.0,117.0,10.0
105,Comfort Fabric Conditioner 1L,Household,Laundry,215.0,Bottle,False,2.0,129.0,14.0
106,Rin Bar 250g,Household,Laundry,20.0,Bar,False,2.0,12.0,32.0
107,Ujala Liquid Detergent 1L,Household,Laundry,175.0,Bottle,False,2.0,105.0,23.0
108,Vanish Stain Remover 500g,Household,Laundry,265.0,Pack,False,2.0,159.0,16.0
109,Ezee Liquid Detergent 500ml,Household,Laundry,145.0,Bottle,False,2.0,87.0,18.0
110,Surf Excel Bar 150g,Household,Laundry,30.0,Bar,False,2.0,18.0,24.0
111,Vim Dishwash Bar 400g,Household,Kitchen,55.0,Bar,False,2.0,33.0,24.0
112,Vim Dishwash Liquid 750ml,Household,Kitchen,125.0,Bottle,False,2.0,75.0,19.0
113,Pril Dishwash Gel 750ml,Household,Kitchen,135.0,Bottle,False,2.0,81.0,22.0
114,Scotch Brite Scrub Pad 3pcs,Household,Kitchen,65.0,Pack,False,2.0,39.0,28.0
115,Colin Glass Cleaner 500ml,Household,Kitchen,145.0,Bottle,False,2.0,87.0,16.0
116,Scotch Brite Steel Scrubber 3pcs,Household,Kitchen,55.0,Pack,False,2.0,33.0,26.0
117,Exo Dishwash Bar 700g,Household,Kitchen,58.0,Bar,False,2.0,34.8,29.0
118,3M Sponge Wipes 3pcs,Household,Kitchen,95.0,Pack,False,2.0,57.0,13.0
119,Scotties Kitchen Tissue Roll 2pcs,Household,Kitchen,75.0,Pack,False,10.0,45.0,14.0
120,Kuber Dish Drying Rack Liner,Household,Kitchen,120.0,Piece,False,10.0,72.0,32.0
121,Lizol Disinfectant Floor Cleaner 1L,Household,Cleaning,195.0,Bottle,False,2.0,117.0,16.0
122,Harpic Power Plus 1L,Household,Cleaning,175.0,Bottle,False,2.0,105.0,22.0
123,Domex Ultra Thick Bleach 1L,Household,Cleaning,145.0,Bottle,False,2.0,87.0,24.0
124,Mr Muscle Bathroom Cleaner 500ml,Household,Cleaning,165.0,Bottle,False,2.0,99.0,20.0
125,Dettol Surface Cleaner 500ml,Household,Cleaning,175.0,Bottle,False,9.0,105.0,13.0
126,Nina Phenyl Floor Cleaner 1L,Household,Cleaning,85.0,Bottle,False,10.0,51.0,22.0
127,Harpic Bathroom Acid 500ml,Household,Cleaning,95.0,Bottle,False,2.0,57.0,16.0
128,Colin Multipurpose Spray 500ml,Household,Cleaning,155.0,Bottle,False,2.0,93.0,28.0
129,Taski Floor Cleaner 1L,Household,Cleaning,225.0,Bottle,False,10.0,135.0,31.0
130,Scotch Brite Mop Refill,Household,Cleaning,185.0,Piece,False,2.0,111.0,11.0
131,Good Knight Advanced Refill 45ml,Household,Home Care,145.0,Refill,False,2.0,87.0,19.0
132,All Out Refill 45ml,Household,Home Care,130.0,Refill,False,2.0,78.0,22.0
133,Odonil Room Freshener 75g,Household,Home Care,95.0,Pack,False,9.0,57.0,34.0
134,Air Wick Freshener 250ml,Household,Home Care,235.0,Can,False,2.0,141.0,30.0
135,HIT Cockroach Spray 400ml,Household,Home Care,185.0,Can,False,2.0,111.0,15.0
136,Mortein Insect Killer 425ml,Household,Home Care,195.0,Can,False,2.0,117.0,21.0
137,Nimwash Naphthalene Balls 100g,Household,Home Care,45.0,Pack,False,10.0,27.0,21.0
138,Ezee Garbage Bags 30pcs Medium,Household,Home Care,75.0,Pack,False,10.0,45.0,29.0
139,Ezee Garbage Bags 20pcs Large,Household,Home Care,85.0,Pack,False,10.0,51.0,20.0
140,Vfoil Aluminium Foil 9m,Household,Home Care,95.0,Roll,False,10.0,57.0,32.0
141,Duracell AA Batteries 4pcs,Household,Stationery,145.0,Pack,False,10.0,87.0,34.0
142,Eveready AAA Batteries 4pcs,Household,Stationery,95.0,Pack,False,10.0,57.0,16.0
143,Cello Tape 24mm,Household,Stationery,30.0,Roll,False,10.0,18.0,10.0
144,Ziploc Zip Lock Bags 20pcs,Household,Stationery,120.0,Pack,False,10.0,72.0,10.0
145,Reynolds Pen 10pcs,Household,Stationery,95.0,Pack,False,10.0,57.0,34.0
146,Paseo Tissue Paper Box 100pcs,Household,Home Care,85.0,Box,False,10.0,51.0,34.0
147,Mangalam Candles Set 12pcs,Household,Home Care,55.0,Pack,False,10.0,33.0,29.0
148,Wimco Matchbox 600 sticks,Household,Home Care,25.0,Box,False,10.0,15.0,22.0
149,Cello Wrap Cling Film,Household,Home Care,125.0,Roll,False,10.0,75.0,18.0
150,Mee Mee Wet Wipes 80pcs,Household,Home Care,145.0,Pack,False,10.0,87.0,12.0
151,Nataraj Rubber Bands 100g,Household,Stationery,35.0,Pack,False,10.0,21.0,16.0
152,Prym Safety Pins 50pcs,Household,Stationery,25.0,Pack,False,10.0,15.0,15.0
153,Cello Clothesline Rope 10m,Household,Stationery,75.0,Roll,False,10.0,45.0,17.0
154,Stanley Measuring Tape 5m,Household,Stationery,185.0,Piece,False,10.0,111.0,18.0
155,Classmate Notebook A5 200pg,Household,Stationery,65.0,Piece,False,10.0,39.0,14.0
156,Pantene Smooth Shampoo 340ml,Personal Care,Hair,285.0,Bottle,False,2.0,171.0,10.0
157,Head Shoulders AntiDandruff 340ml,Personal Care,Hair,315.0,Bottle,False,2.0,189.0,28.0
158,Clinic Plus Shampoo 340ml,Personal Care,Hair,195.0,Bottle,False,2.0,117.0,19.0
159,Dove Intense Repair Shampoo 340ml,Personal Care,Hair,325.0,Bottle,False,2.0,195.0,21.0
160,Parachute Coconut Oil 500ml,Personal Care,Hair,175.0,Bottle,False,3.0,105.0,24.0
161,Bajaj Almond Oil 200ml,Personal Care,Hair,195.0,Bottle,False,9.0,117.0,18.0
162,Himalaya AntiDandruff Shampoo 400ml,Personal Care,Hair,265.0,Bottle,False,8.0,159.0,29.0
163,Livon Hair Serum 100ml,Personal Care,Hair,220.0,Bottle,False,2.0,132.0,26.0
164,TRESemme Conditioner 190ml,Personal Care,Hair,245.0,Bottle,False,2.0,147.0,26.0
165,Biotique Bio Henna 80g,Personal Care,Hair,175.0,Pack,False,8.0,105.0,29.0
166,Nivea Soft Moisturising Cream 100ml,Personal Care,Skin,185.0,Jar,False,2.0,111.0,21.0
167,Ponds Cold Cream 100ml,Personal Care,Skin,115.0,Jar,False,2.0,69.0,16.0
168,Lakme Sunscreen SPF50 50ml,Personal Care,Skin,335.0,Tube,False,2.0,201.0,11.0
169,Neutrogena Oil Free Face Wash 100ml,Personal Care,Skin,285.0,Bottle,False,5.0,171.0,12.0
170,Himalaya Neem Face Wash 150ml,Personal Care,Skin,145.0,Tube,False,8.0,87.0,26.0
171,Garnier Micellar Water 125ml,Personal Care,Skin,225.0,Bottle,False,2.0,135.0,14.0
172,Glow and Lovely Cream 50g,Personal Care,Skin,95.0,Tube,False,2.0,57.0,26.0
173,Vaseline Intensive Care 400ml,Personal Care,Skin,265.0,Bottle,False,2.0,159.0,26.0
174,WOW Vitamin C Serum 30ml,Personal Care,Skin,545.0,Bottle,False,8.0,327.0,26.0
175,Biotique Almond Face Cream 50g,Personal Care,Skin,195.0,Jar,False,8.0,117.0,11.0
176,Colgate Maxfresh Toothpaste 150g,Personal Care,Oral,95.0,Tube,False,2.0,57.0,11.0
177,Pepsodent Germicheck 150g,Personal Care,Oral,85.0,Tube,False,2.0,51.0,14.0
178,Sensodyne Toothpaste 70g,Personal Care,Oral,185.0,Tube,False,2.0,111.0,10.0
179,Dabur Red Toothpaste 200g,Personal Care,Oral,115.0,Tube,False,9.0,69.0,10.0
180,Colgate 360 Toothbrush,Personal Care,Oral,65.0,Piece,False,2.0,39.0,28.0
181,Oral B CrossAction Brush,Personal Care,Oral,195.0,Piece,False,2.0,117.0,11.0
182,Listerine Mouthwash 500ml,Personal Care,Oral,235.0,Bottle,False,2.0,141.0,21.0
183,Oral B Floss Picks 50pcs,Personal Care,Oral,145.0,Pack,False,2.0,87.0,15.0
184,Dove Beauty Soap 100g x3,Personal Care,Bath,145.0,Pack,False,2.0,87.0,13.0
185,Dettol Original Soap 75g x4,Personal Care,Bath,135.0,Pack,False,9.0,81.0,20.0
186,Pears Transparent Soap 125g x3,Personal Care,Bath,115.0,Pack,False,2.0,69.0,26.0
187,Fiama Shower Gel 250ml,Personal Care,Bath,195.0,Bottle,False,2.0,117.0,15.0
188,Dove Body Wash 250ml,Personal Care,Bath,285.0,Bottle,False,2.0,171.0,14.0
189,Himalaya Neem Soap 75g x6,Personal Care,Bath,165.0,Pack,False,8.0,99.0,29.0
190,Dettol Handwash Pump 200ml,Personal Care,Bath,95.0,Bottle,False,9.0,57.0,11.0
191,Lifebuoy Handwash 190ml,Personal Care,Bath,75.0,Bottle,False,2.0,45.0,15.0
192,Engage Body Deo Spray 150ml,Personal Care,Bath,175.0,Can,False,2.0,105.0,20.0
193,Axe Dark Temptation Deo 150ml,Personal Care,Bath,195.0,Can,False,2.0,117.0,25.0
194,Gillette Mach3 Razor,Personal Care,Grooming,225.0,Piece,False,2.0,135.0,25.0
195,Gillette Shaving Foam 200g,Personal Care,Grooming,225.0,Can,False,2.0,135.0,10.0
196,Bombay Shaving Co Cream 100g,Personal Care,Grooming,395.0,Tube,False,8.0,237.0,18.0
197,Park Avenue Deo 150ml,Personal Care,Grooming,185.0,Can,False,2.0,111.0,15.0
198,Beardo Beard Oil 30ml,Personal Care,Grooming,345.0,Bottle,False,8.0,207.0,25.0
199,Veet Hair Removal Cream 50g,Personal Care,Grooming,145.0,Tube,False,2.0,87.0,12.0
200,Gillette Blade Refill 4pcs,Personal Care,Grooming,295.0,Pack,False,2.0,177.0,29.0
201,Amul Kool Gold Exotic Rose Flavour 200ml,Groceries,Dairy,35.0,200ml Bottle,,,,
202,Hocco Tender Coconut Ice Cream 750ml,Groceries,Dairy,300.0,750ml Tub,,,,
203,Britannia Veg Fruit Cake 250g,Groceries,Bakery,90.0,250g Pack,,,,
