product_id,stock_level,batch_id,expiry_date,last_updated,quantity_received,unit_price,cost_price,reorder_level,last_restock_date
35,350,BATCH-35-20250101,2027-06-17,2026-04-18T23:10:21.432390,361.0,,,,
36,1056,BATCH-36-20250101,2027-01-03,2026-04-18T23:10:21.432390,1068.0,,,,
37,195,BATCH-37-20250101,2028-04-12,2026-04-18T23:10:21.432390,209.0,,,,
38,87,BATCH-38-20250101,2027-04-02,2026-04-18T23:10:21.432390,105.0,,,,
39,438,BATCH-39-20250101,2027-05-19,2026-04-18T23:10:21.432390,465.0,,,,
40,283,BATCH-40-20250101,2027-08-30,2026-04-18T23:10:21.432390,305.0,,,,
41,401,BATCH-41-20250101,2028-01-06,2026-04-18T23:10:21.432390,427.0,,,,
42,304,BATCH-42-20250101,2027-06-02,2026-04-18T23:10:21.432390,316.0,,,,
43,1054,BATCH-43-20250101,2027-06-07,2026-04-18T23:10:21.434397,1088.0,,,,
44,702,BATCH-44-20250101,2026-12-14,2026-04-18T23:10:21.434397,719.0,,,,
45,21,BATCH-45-20250101,2027-09-18,2026-04-18T23:10:21.434771,33.0,,,,
46,327,BATCH-46-20250101,2028-02-24,2026-04-18T23:10:21.434771,343.0,,,,
47,552,BATCH-47-20250101,2028-02-11,2026-04-18T23:10:21.434771,569.0,,,,
48,441,BATCH-48-20250101,2027-04-27,2026-04-18T23:10:21.434771,454.0,,,,
49,88,BATCH-49-20250101,2027-10-12,2026-04-18T23:10:21.435357,111.0,,,,
50,176,BATCH-50-20250101,2027-01-23,2026-04-18T23:10:21.435357,187.0,,,,
51,370,BATCH-51-20250101,2027-02-03,2026-04-18T23:10:21.435357,387.0,,,,
52,88,BATCH-52-20250101,2027-03-07,2026-04-18T23:10:21.435357,111.0,,,,
53,87,BATCH-53-20250101,2027-06-27,2026-04-18T23:10:21.435357,99.0,,,,
54,524,BATCH-54-20250101,2027-01-23,2026-04-18T23:10:21.435357,535.0,,,,
55,528,BATCH-55-20250101,2026-10-30,2026-04-18T23:10:21.435357,540.0,,,,
56,305,BATCH-56-20250101,2027-04-03,2026-04-18T23:10:21.435357,328.0,,,,
57,282,BATCH-57-20250101,2027-11-29,2026-04-18T23:10:21.435357,293.0,,,,
58,21,BATCH-58-20250101,2027-11-18,2026-04-18T23:10:21.435357,39.0,,,,
59,458,BATCH-59-20250101,2027-08-03,2026-04-18T23:10:21.435357,481.0,,,,
60,524,BATCH-60-20250101,2028-02-25,2026-04-18T23:10:21.435357,538.0,,,,
61,44,BATCH-61-20250101,2026-12-13,2026-04-18T23:10:21.435357,72.0,,,,
62,176,BATCH-62-20250101,2027-09-01,2026-04-18T23:10:21.435357,187.0,,,,
63,88,BATCH-63-20250101,2028-03-12,2026-04-18T23:10:21.435357,114.0,,,,
64,21,BATCH-64-20250101,2027-04-23,2026-04-18T23:10:21.435357,33.0,,,,
65,303,BATCH-65-20250101,2027-12-02,2026-04-18T23:10:21.435357,316.0,,,,
66,548,BATCH-66-20250101,2027-06-24,2026-04-18T23:10:21.435357,576.0,,,,
67,197,BATCH-67-20250101,2027-12-18,2026-04-18T23:10:21.435357,225.0,,,,
68,371,BATCH-68-20250101,2027-07-09,2026-04-18T23:10:21.435357,387.0,,,,
69,370,BATCH-69-20250101,2027-06-16,2026-04-18T23:10:21.435357,388.0,,,,
70,1124,BATCH-70-20250101,2027-08-18,2026-04-18T23:10:21.435357,1148.0,,,,
71,1177,BATCH-71-20250101,2026-12-28,2026-04-18T23:10:21.435357,1187.0,,,,
72,542,BATCH-72-20250101,2027-01-25,2026-04-18T23:10:21.435357,554.0,,,,
73,504,BATCH-73-20250101,2027-07-13,2026-04-18T23:10:21.435357,518.0,,,,
74,197,BATCH-74-20250101,2027-06-22,2026-04-18T23:10:21.435357,218.0,,,,
75,955,BATCH-75-20250101,2027-08-20,2026-04-18T23:10:21.435357,984.0,,,,
76,507,BATCH-76-20250101,2026-10-23,2026-04-18T23:10:21.435357,534.0,,,,
77,1116,BATCH-77-20250101,2027-01-29,2026-04-18T23:10:21.435357,1130.0,,,,
78,1283,BATCH-78-20250101,2027-02-01,2026-04-18T23:10:21.435357,1310.0,,,,
79,65,BATCH-79-20250101,2027-05-18,2026-04-18T23:10:21.435357,85.0,,,,
80,1094,BATCH-80-20250101,2027-07-12,2026-04-18T23:10:21.435357,1120.0,,,,
81,175,BATCH-81-20250101,2027-01-17,2026-04-18T23:10:21.435357,205.0,,,,
82,329,BATCH-82-20250101,2026-11-29,2026-04-18T23:10:21.435357,339.0,,,,
83,748,BATCH-83-20250101,2027-07-10,2026-04-18T23:10:21.435357,763.0,,,,
84,528,BATCH-84-20250101,2027-12-26,2026-04-18T23:10:21.435357,555.0,,,,
85,22,BATCH-85-20250101,2027-03-16,2026-04-18T23:10:21.435357,49.0,,,,
86,66,BATCH-86-20250101,2027-03-15,2026-04-18T23:10:21.435357,89.0,,,,
87,66,BATCH-87-20250101,2027-10-23,2026-04-18T23:10:21.435357,77.0,,,,
88,285,BATCH-88-20250101,2027-06-27,2026-04-18T23:10:21.435357,298.0,,,,
89,1037,BATCH-89-20250101,2027-12-05,2026-04-18T23:10:21.435357,1066.0,,,,
90,304,BATCH-90-20250101,2027-03-30,2026-04-18T23:10:21.435357,319.0,,,,
91,151,BATCH-91-20250101,2026-05-06,2026-04-18T23:10:21.435357,174.0,,,,
92,306,BATCH-92-20250101,2026-05-18,2026-04-18T23:10:21.435357,319.0,,,,
93,673,BATCH-93-20250101,2026-07-14,2026-04-18T23:10:21.435357,689.0,,,,
94,460,BATCH-94-20250101,2026-07-16,2026-04-18T23:10:21.435357,477.0,,,,
95,42,BATCH-95-20250101,2027-11-27,2026-04-18T23:10:21.435357,64.0,15.0,10.0,,
96,703,BATCH-96-20250101,2027-07-27,2026-04-18T23:10:21.435357,724.0,,,,
97,417,BATCH-97-20250101,2028-04-16,2026-04-18T23:10:21.435357,437.0,,,,
98,220,BATCH-98-20250101,2027-07-09,2026-04-18T23:10:21.435357,235.0,,,,
99,329,BATCH-99-20250101,2026-11-23,2026-04-18T23:10:21.435357,342.0,,,,
100,393,BATCH-100-20250101,2026-08-07,2026-04-18T23:10:21.435357,416.0,,,,
101,199,BATCH-101-20250101,2027-02-10,2026-04-18T23:10:21.435357,221.0,,,,
102,113,BATCH-102-20250101,2027-07-02,2026-04-18T23:10:21.435357,124.0,,,,
103,61,BATCH-103-20250101,2028-03-30,2026-04-18T23:10:21.435357,88.0,,,,
104,113,BATCH-104-20250101,2027-10-22,2026-04-18T23:10:21.435357,136.0,,,,
105,26,BATCH-105-20250101,2027-09-01,2026-04-18T23:10:21.435357,39.0,,,,
106,139,BATCH-106-20250101,2028-03-17,2026-04-18T23:10:21.435357,158.0,,,,
107,149,BATCH-107-20250101,2027-12-01,2026-04-18T23:10:21.435357,168.0,,,,
108,114,BATCH-108-20250101,2027-12-19,2026-04-18T23:10:21.435357,136.0,,,,
109,104,BATCH-109-20250101,2027-08-19,2026-04-18T23:10:21.435357,126.0,,,,
110,61,BATCH-110-20250101,2027-08-22,2026-04-18T23:10:21.435357,80.0,,,,
111,483,BATCH-111-20250101,2027-09-09,2026-04-18T23:10:21.435357,507.0,,,,
112,114,BATCH-112-20250101,2028-03-21,2026-04-18T23:10:21.435357,139.0,,,,
113,106,BATCH-113-20250101,2027-01-09,2026-04-18T23:10:21.435357,125.0,,,,
114,150,BATCH-114-20250101,2027-01-18,2026-04-18T23:10:21.435357,167.0,,,,
115,123,BATCH-115-20250101,2027-05-06,2026-04-18T23:10:21.435357,137.0,,,,
116,17,BATCH-116-20250101,2028-02-13,2026-04-18T23:10:21.435357,46.0,,,,
117,78,BATCH-117-20250101,2028-01-24,2026-04-18T23:10:21.441215,101.0,,,,
118,219,BATCH-118-20250101,2027-05-02,2026-04-18T23:10:21.441215,241.0,,,,
119,123,BATCH-119-20250101,2027-03-15,2026-04-18T23:10:21.441215,153.0,,,,
120,87,BATCH-120-20250101,2027-12-24,2026-04-18T23:10:21.441215,104.0,,,,
121,34,BATCH-121-20250101,2026-12-05,2026-04-18T23:10:21.441215,61.0,,,,
122,503,BATCH-122-20250101,2027-02-16,2026-04-18T23:10:21.441215,527.0,,,,
123,35,BATCH-123-20250101,2028-04-10,2026-04-18T23:10:21.441215,62.0,,,,
124,185,BATCH-124-20250101,2028-03-14,2026-04-18T23:10:21.441215,208.0,,,,
125,209,BATCH-125-20250101,2028-01-14,2026-04-18T23:10:21.441215,224.0,,,,
126,194,BATCH-126-20250101,2028-01-18,2026-04-18T23:10:21.441215,212.0,,,,
127,132,BATCH-127-20250101,2028-03-31,2026-04-18T23:10:21.441215,157.0,,,,
128,131,BATCH-128-20250101,2028-01-08,2026-04-18T23:10:21.441215,143.0,,,,
129,123,BATCH-129-20250101,2027-07-20,2026-04-18T23:10:21.441215,143.0,,,,
130,413,BATCH-130-20250101,2027-01-05,2026-04-18T23:10:21.441215,427.0,,,,
131,35,BATCH-131-20250101,2027-03-20,2026-04-18T23:10:21.441215,51.0,,,,
132,34,BATCH-132-20250101,2027-09-18,2026-04-18T23:10:21.441215,61.0,,,,
133,70,BATCH-133-20250101,2027-05-14,2026-04-18T23:10:21.441215,93.0,,,,
134,476,BATCH-134-20250101,2026-11-04,2026-04-18T23:10:21.442721,504.0,,,,
135,265,BATCH-135-20250101,2027-10-10,2026-04-18T23:10:21.442721,284.0,,,,
136,175,BATCH-136-20250101,2027-05-28,2026-04-18T23:10:21.442721,200.0,,,,
137,377,BATCH-137-20250101,2028-02-24,2026-04-18T23:10:21.442721,387.0,,,,
138,447,BATCH-138-20250101,2027-12-03,2026-04-18T23:10:21.442721,462.0,,,,
139,96,BATCH-139-20250101,2028-04-13,2026-04-18T23:10:21.442721,106.0,,,,
140,220,BATCH-140-20250101,2026-11-11,2026-04-18T23:10:21.442721,232.0,,,,
141,96,BATCH-141-20250101,2028-01-30,2026-04-18T23:10:21.442721,111.0,,,,
142,35,BATCH-142-20250101,2027-09-15,2026-04-18T23:10:21.442721,51.0,,,,
143,150,BATCH-143-20250101,2027-11-07,2026-04-18T23:10:21.442721,168.0,,,,
144,174,BATCH-144-20250101,2027-06-30,2026-04-18T23:10:21.442721,186.0,,,,
145,213,BATCH-145-20250101,2026-12-07,2026-04-18T23:10:21.442721,234.0,,,,
146,281,BATCH-146-20250101,2026-11-25,2026-04-18T23:10:21.442721,291.0,,,,
147,114,BATCH-147-20250101,2026-11-04,2026-04-18T23:10:21.442721,143.0,,,,
148,17,BATCH-148-20250101,2028-02-11,2026-04-18T23:10:21.442721,30.0,,,,
149,113,BATCH-149-20250101,2028-02-03,2026-04-18T23:10:21.442721,131.0,,,,
150,105,BATCH-150-20250101,2027-02-09,2026-04-18T23:10:21.442721,120.0,,,,
151,87,BATCH-151-20250101,2026-11-10,2026-04-18T23:10:21.442721,106.0,,,,
152,167,BATCH-152-20250101,2027-11-25,2026-04-18T23:10:21.444729,183.0,,,,
153,17,BATCH-153-20250101,2027-01-27,2026-04-18T23:10:21.444729,36.0,,,,
154,86,BATCH-154-20250101,2026-11-26,2026-04-18T23:10:21.444729,107.0,,,,
155,158,BATCH-155-20250101,2026-12-24,2026-04-18T23:10:21.444729,184.0,,,,
156,45,BATCH-156-20250101,2027-12-19,2026-04-18T23:10:21.444729,70.0,,,,
157,19,BATCH-157-20250101,2028-01-28,2026-04-18T23:10:21.444729,33.0,,,,
158,150,BATCH-158-20250101,2027-07-18,2026-04-18T23:10:21.444729,179.0,,,,
159,158,BATCH-159-20250101,2028-02-22,2026-04-18T23:10:21.444729,182.0,,,,
160,165,BATCH-160-20250101,2027-07-16,2026-04-18T23:10:21.444729,185.0,,,,
161,59,BATCH-161-20250101,2027-07-27,2026-04-18T23:10:21.444729,83.0,,,,
162,289,BATCH-162-20250101,2027-11-07,2026-04-18T23:10:21.444729,309.0,,,,
163,19,BATCH-163-20250101,2027-04-19,2026-04-18T23:10:21.444729,44.0,,,,
164,356,BATCH-164-20250101,2027-07-06,2026-04-18T23:10:21.444729,376.0,,,,
165,323,BATCH-165-20250101,2027-07-24,2026-04-18T23:10:21.444729,350.0,,,,
166,13,BATCH-166-20250101,2027-01-10,2026-04-18T23:10:21.444729,30.0,,,,
167,144,BATCH-167-20250101,2027-06-18,2026-04-18T23:10:21.444729,169.0,,,,
168,145,BATCH-168-20250101,2028-01-16,2026-04-18T23:10:21.444729,155.0,,,,
169,13,BATCH-169-20250101,2027-12-03,2026-04-18T23:10:21.444729,30.0,,,,
170,316,BATCH-170-20250101,2027-10-27,2026-04-18T23:10:21.444729,341.0,,,,
171,118,BATCH-171-20250101,2027-12-24,2026-04-18T23:10:21.444729,145.0,,,,
172,340,BATCH-172-20250101,2028-01-22,2026-04-18T23:10:21.444729,358.0,,,,
173,242,BATCH-173-20250101,2027-02-15,2026-04-18T23:10:21.444729,258.0,,,,
174,346,BATCH-174-20250101,2028-04-15,2026-04-18T23:10:21.444729,361.0,,,,
175,26,BATCH-175-20250101,2027-07-25,2026-04-18T23:10:21.444729,54.0,,,,
176,150,BATCH-176-20250101,2027-07-31,2026-04-18T23:10:21.444729,163.0,,,,
177,104,BATCH-177-20250101,2027-06-04,2026-04-18T23:10:21.444729,125.0,,,,
178,6,BATCH-178-20250101,2028-04-13,2026-04-18T23:10:21.444729,20.0,,,,
179,204,BATCH-179-20250101,2027-08-10,2026-04-18T23:10:21.444729,218.0,,,,
180,144,BATCH-180-20250101,2027-01-28,2026-04-18T23:10:21.444729,154.0,,,,
181,143,BATCH-181-20250101,2028-02-17,2026-04-18T23:10:21.444729,167.0,,,,
182,398,BATCH-182-20250101,2026-12-06,2026-04-18T23:10:21.444729,416.0,,,,
183,146,BATCH-183-20250101,2027-02-08,2026-04-18T23:10:21.444729,158.0,,,,
184,59,BATCH-184-20250101,2026-12-08,2026-04-18T23:10:21.444729,73.0,,,,
185,19,BATCH-185-20250101,2027-01-10,2026-04-18T23:10:21.444729,36.0,,,,
186,26,BATCH-186-20250101,2027-06-03,2026-04-18T23:10:21.444729,52.0,,,,
187,384,BATCH-187-20250101,2028-01-11,2026-04-18T23:10:21.444729,403.0,,,,
188,130,BATCH-188-20250101,2027-08-23,2026-04-18T23:10:21.444729,158.0,,,,
189,65,BATCH-189-20250101,2027-05-15,2026-04-18T23:10:21.444729,95.0,,,,
190,339,BATCH-190-20250101,2027-01-06,2026-04-18T23:10:21.444729,354.0,,,,
191,309,BATCH-191-20250101,2026-12-30,2026-04-18T23:10:21.444729,324.0,,,,
192,26,BATCH-192-20250101,2028-02-08,2026-04-18T23:10:21.444729,45.0,,,,
193,19,BATCH-193-20250101,2027-07-31,2026-04-18T23:10:21.444729,43.0,,,,
194,13,BATCH-194-20250101,2027-07-12,2026-04-18T23:10:21.444729,43.0,,,,
195,85,BATCH-195-20250101,2027-12-24,2026-04-18T23:10:21.444729,98.0,,,,
196,72,BATCH-196-20250101,2027-07-14,2026-04-18T23:10:21.444729,86.0,,,,
197,13,BATCH-197-20250101,2027-08-25,2026-04-18T23:10:21.444729,42.0,,,,
198,163,BATCH-198-20250101,2027-08-06,2026-04-18T23:10:21.444729,187.0,,,,
199,19,BATCH-199-20250101,2027-12-01,2026-04-18T23:10:21.444729,37.0,,,,
200,144,BATCH-200-20250101,2028-01-06,2026-04-18T23:10:21.444729,156.0,,,,
201,19,BATCH-201-20250101,2027-06-30,,,35.0,22.0,15.0,2025-01-15
202,34,BATCH-202-20250101,2027-06-30,,,300.0,190.0,10.0,2025-01-15
203,60,BATCH-203-20250101,2027-06-30,,,90.0,58.0,15.0,2025-01-15
