barcode,product_id,product_name,category,subcategory,unit_price,stock_level
8900000000548,54,Lijjat Khakhra Plain 200g,Groceries,Snacks,70.0,
8900000000555,55,Lijjat Papad 200g,Groceries,Snacks,48.0,
8900000000562,56,Tata Tea Premium 500g,Groceries,Beverages,220.0,
8900000000579,57,Brooke Bond Red Label Tea 500g,Groceries,Beverages,245.0,
8900000000586,58,Lipton Green Tea 25 bags,Groceries,Beverages,125.0,
8900000000593,59,Nescafe Classic 50g,Groceries,Beverages,195.0,
8900000000609,60,Bru Instant Coffee 100g,Groceries,Beverages,210.0,
8900000000616,61,Horlicks Original 500g,Groceries,Beverages,295.0,
8900000000623,62,Cadbury Bournvita 500g,Groceries,Beverages,285.0,
8900000000630,63,Complan Chocolate 500g,Groceries,Beverages,325.0,
8900000000647,64,Dabur Real Mango Juice 1L,Groceries,Beverages,135.0,
8900000000654,65,Tropicana Orange Juice 1L,Groceries,Beverages,140.0,
8900000000661,66,Paper Boat Aamras 250ml,Groceries,Beverages,30.0,
8900000000678,67,Minute Maid Pulpy Orange 400ml,Groceries,Beverages,35.0,
8900000000685,68,Hamdard Rooh Afza 750ml,Groceries,Beverages,275.0,
8900000000692,69,Kissan Mixed Fruit Jam 500g,Groceries,Beverages,165.0,
8900000000708,70,Raw Pressery Coconut Water 200ml,Groceries,Beverages,45.0,
8900000000715,71,Limca 750ml,Groceries,Beverages,40.0,
8900000000722,72,Thums Up 750ml,Groceries,Beverages,42.0,
8900000000739,73,Maaza Mango 600ml,Groceries,Beverages,40.0,
8900000000746,74,Frooti Mango 200ml,Groceries,Beverages,15.0,
8900000000753,75,B Natural Pomegranate Juice 1L,Groceries,Beverages,145.0,
8900000000760,76,MDH Chilli Powder 200g,Groceries,Spices,72.0,
8900000000777,77,Everest Turmeric Powder 200g,Groceries,Spices,65.0,
8900000000784,78,MDH Coriander Powder 200g,Groceries,Spices,58.0,
8900000000791,79,Everest Cumin Seeds 100g,Groceries,Spices,48.0,
8900000000807,80,MDH Garam Masala 100g,Groceries,Spices,85.0,
8900000000814,81,Everest Chicken Masala 100g,Groceries,Spices,78.0,
8900000000821,82,Shan Biryani Masala 50g,Groceries,Spices,95.0,
8900000000838,83,Maggi Tamarind Paste 200g,Groceries,Spices,65.0,
8900000000845,84,Kissan Tomato Ketchup 500g,Groceries,Spices,115.0,
8900000000852,85,Maggi Green Chilli Sauce 200g,Groceries,Spices,85.0,
8900000000869,86,Dr Oetker Mayonnaise 250g,Groceries,Spices,125.0,
8900000000876,87,Frenchs Mustard Sauce 200g,Groceries,Spices,140.0,
8900000000883,88,Chings Soy Sauce 200ml,Groceries,Spices,70.0,
8900000000890,89,MDH Chaat Masala 100g,Groceries,Spices,55.0,
8900000000906,90,Bragg Apple Cider Vinegar 500ml,Groceries,Spices,220.0,
8900000000913,91,Britannia Whole Wheat Bread 400g,Groceries,Bakery,48.0,
8900000000920,92,Harvest Gold White Bread 400g,Groceries,Bakery,42.0,
8900000000937,93,Bonn Multigrain Bread 400g,Groceries,Bakery,55.0,
8900000000944,94,7 Days Butter Croissant 60g,Groceries,Bakery,25.0,
8901063362710,95,Britannia Cake Gobbles Choco Chill 45g,Groceries,Bakery,90.0,42.0
8900000000968,96,Britannia Rusk Toast 300g,Groceries,Bakery,65.0,
8900000000975,97,MTR Upma Mix 200g,Groceries,Bakery,65.0,
8900000000982,98,MTR Poha Mix 200g,Groceries,Bakery,55.0,
8900000000999,99,MTR Ready Idli Mix 500g,Groceries,Bakery,95.0,
8900000001002,100,Kitchens of India Dal Makhani 300g,Groceries,Bakery,175.0,
8900000001019,101,Surf Excel Matic 2kg,Household,Laundry,430.0,
8900000001026,102,Ariel Front Load 2kg,Household,Laundry,465.0,
8900000001033,103,Tide Plus 3kg,Household,Laundry,390.0,
8900000001040,104,Wheel Active 4kg,Household,Laundry,195.0,
8900000001057,105,Comfort Fabric Conditioner 1L,Household,Laundry,215.0,
8900000001064,106,Rin Bar 250g,Household,Laundry,20.0,
8900000001071,107,Ujala Liquid Detergent 1L,Household,Laundry,175.0,
8900000001088,108,Vanish Stain Remover 500g,Household,Laundry,265.0,
8900000001095,109,Ezee Liquid Detergent 500ml,Household,Laundry,145.0,
8900000001101,110,Surf Excel Bar 150g,Household,Laundry,30.0,
8900000001118,111,Vim Dishwash Bar 400g,Household,Kitchen,55.0,
8900000001125,112,Vim Dishwash Liquid 750ml,Household,Kitchen,125.0,
8900000001132,113,Pril Dishwash Gel 750ml,Household,Kitchen,135.0,
8900000001149,114,Scotch Brite Scrub Pad 3pcs,Household,Kitchen,65.0,
8900000001156,115,Colin Glass Cleaner 500ml,Household,Kitchen,145.0,
8900000001163,116,Scotch Brite Steel Scrubber 3pcs,Household,Kitchen,55.0,
8900000001170,117,Exo Dishwash Bar 700g,Household,Kitchen,58.0,
8900000001187,118,3M Sponge Wipes 3pcs,Household,Kitchen,95.0,
8900000001194,119,Scotties Kitchen Tissue Roll 2pcs,Household,Kitchen,75.0,
8900000001200,120,Kuber Dish Drying Rack Liner,Household,Kitchen,120.0,
8900000001217,121,Lizol Disinfectant Floor Cleaner 1L,Household,Cleaning,195.0,
8900000001224,122,Harpic Power Plus 1L,Household,Cleaning,175.0,
8900000001231,123,Domex Ultra Thick Bleach 1L,Household,Cleaning,145.0,
8900000001248,124,Mr Muscle Bathroom Cleaner 500ml,Household,Cleaning,165.0,
8900000001255,125,Dettol Surface Cleaner 500ml,Household,Cleaning,175.0,
8900000001262,126,Nina Phenyl Floor Cleaner 1L,Household,Cleaning,85.0,
8900000001279,127,Harpic Bathroom Acid 500ml,Household,Cleaning,95.0,
8900000001286,128,Colin Multipurpose Spray 500ml,Household,Cleaning,155.0,
8900000001293,129,Taski Floor Cleaner 1L,Household,Cleaning,225.0,
8900000001309,130,Scotch Brite Mop Refill,Household,Cleaning,185.0,
8900000001316,131,Good Knight Advanced Refill 45ml,Household,Home Care,145.0,
8900000001323,132,All Out Refill 45ml,Household,Home Care,130.0,
8900000001330,133,Odonil Room Freshener 75g,Household,Home Care,95.0,
8900000001347,134,Air Wick Freshener 250ml,Household,Home Care,235.0,
8900000001354,135,HIT Cockroach Spray 400ml,Household,Home Care,185.0,
8900000001361,136,Mortein Insect Killer 425ml,Household,Home Care,195.0,
8900000001378,137,Nimwash Naphthalene Balls 100g,Household,Home Care,45.0,
8900000001385,138,Ezee Garbage Bags 30pcs Medium,Household,Home Care,75.0,
8900000001392,139,Ezee Garbage Bags 20pcs Large,Household,Home Care,85.0,
8900000001408,140,Vfoil Aluminium Foil 9m,Household,Home Care,95.0,
8900000001415,141,Duracell AA Batteries 4pcs,Household,Stationery,145.0,
8900000001422,142,Eveready AAA Batteries 4pcs,Household,Stationery,95.0,
8900000001439,143,Cello Tape 24mm,Household,Stationery,30.0,
8900000001446,144,Ziploc Zip Lock Bags 20pcs,Household,Stationery,120.0,
8900000001453,145,Reynolds Pen 10pcs,Household,Stationery,95.0,
8900000001460,146,Paseo Tissue Paper Box 100pcs,Household,Home Care,85.0,
8900000001477,147,Mangalam Candles Set 12pcs,Household,Home Care,55.0,
8900000001484,148,Wimco Matchbox 600 sticks,Household,Home Care,25.0,
8900000001491,149,Cello Wrap Cling Film,Household,Home Care,125.0,
8900000001507,150,Mee Mee Wet Wipes 80pcs,Household,Home Care,145.0,
8900000001514,151,Nataraj Rubber Bands 100g,Household,Stationery,35.0,
8900000001521,152,Prym Safety Pins 50pcs,Household,Stationery,25.0,
8900000001538,153,Cello Clothesline Rope 10m,Household,Stationery,75.0,
8900000001545,154,Stanley Measuring Tape 5m,Household,Stationery,185.0,
8900000001552,155,Classmate Notebook A5 200pg,Household,Stationery,65.0,
8900000001569,156,Pantene Smooth Shampoo 340ml,Personal Care,Hair,285.0,
8900000001576,157,Head Shoulders AntiDandruff 340ml,Personal Care,Hair,315.0,
8900000001583,158,Clinic Plus Shampoo 340ml,Personal Care,Hair,195.0,
8900000001590,159,Dove Intense Repair Shampoo 340ml,Personal Care,Hair,325.0,
8900000001606,160,Parachute Coconut Oil 500ml,Personal Care,Hair,175.0,
8900000001613,161,Bajaj Almond Oil 200ml,Personal Care,Hair,195.0,
8900000001620,162,Himalaya AntiDandruff Shampoo 400ml,Personal Care,Hair,265.0,
8900000001637,163,Livon Hair Serum 100ml,Personal Care,Hair,220.0,
8900000001644,164,TRESemme Conditioner 190ml,Personal Care,Hair,245.0,
8900000001651,165,Biotique Bio Henna 80g,Personal Care,Hair,175.0,
8900000001668,166,Nivea Soft Moisturising Cream 100ml,Personal Care,Skin,185.0,
8900000001675,167,Ponds Cold Cream 100ml,Personal Care,Skin,115.0,
8900000001682,168,Lakme Sunscreen SPF50 50ml,Personal Care,Skin,335.0,
8900000001699,169,Neutrogena Oil Free Face Wash 100ml,Personal Care,Skin,285.0,
8900000001705,170,Himalaya Neem Face Wash 150ml,Personal Care,Skin,145.0,
8900000001712,171,Garnier Micellar Water 125ml,Personal Care,Skin,225.0,
8900000001729,172,Glow and Lovely Cream 50g,Personal Care,Skin,95.0,
8900000001736,173,Vaseline Intensive Care 400ml,Personal Care,Skin,265.0,
8900000001743,174,WOW Vitamin C Serum 30ml,Personal Care,Skin,545.0,
8900000001750,175,Biotique Almond Face Cream 50g,Personal Care,Skin,195.0,
8900000001767,176,Colgate Maxfresh Toothpaste 150g,Personal Care,Oral,95.0,
8900000001774,177,Pepsodent Germicheck 150g,Personal Care,Oral,85.0,
8900000001781,178,Sensodyne Toothpaste 70g,Personal Care,Oral,185.0,
8900000001798,179,Dabur Red Toothpaste 200g,Personal Care,Oral,115.0,
8900000001804,180,Colgate 360 Toothbrush,Personal Care,Oral,65.0,
8900000001811,181,Oral B CrossAction Brush,Personal Care,Oral,195.0,
8900000001828,182,Listerine Mouthwash 500ml,Personal Care,Oral,235.0,
8900000001835,183,Oral B Floss Picks 50pcs,Personal Care,Oral,145.0,
8900000001842,184,Dove Beauty Soap 100g x3,Personal Care,Bath,145.0,
8900000001859,185,Dettol Original Soap 75g x4,Personal Care,Bath,135.0,
8900000001866,186,Pears Transparent Soap 125g x3,Personal Care,Bath,115.0,
8900000001873,187,Fiama Shower Gel 250ml,Personal Care,Bath,195.0,
8900000001880,188,Dove Body Wash 250ml,Personal Care,Bath,285.0,
8900000001897,189,Himalaya Neem Soap 75g x6,Personal Care,Bath,165.0,
8900000001903,190,Dettol Handwash Pump 200ml,Personal Care,Bath,95.0,
8900000001910,191,Lifebuoy Handwash 190ml,Personal Care,Bath,75.0,
8900000001927,192,Engage Body Deo Spray 150ml,Personal Care,Bath,175.0,
8900000001934,193,Axe Dark Temptation Deo 150ml,Personal Care,Bath,195.0,
8900000001941,194,Gillette Mach3 Razor,Personal Care,Grooming,225.0,
8900000001958,195,Gillette Shaving Foam 200g,Personal Care,Grooming,225.0,
8900000001965,196,Bombay Shaving Co Cream 100g,Personal Care,Grooming,395.0,
8900000001972,197,Park Avenue Deo 150ml,Personal Care,Grooming,185.0,
8900000001989,198,Beardo Beard Oil 30ml,Personal Care,Grooming,345.0,
8900000001996,199,Veet Hair Removal Cream 50g,Personal Care,Grooming,145.0,
8900000002009,200,Gillette Blade Refill 4pcs,Personal Care,Grooming,295.0,
8901262153362,201,Amul Kool Gold Exotic Rose Flavour 200ml,Groceries,Dairy,,19.0
8906172542497,202,Hocco Tender Coconut Ice Cream 750ml,Groceries,Dairy,,34.0
8901063362727,203,Britannia Veg Fruit Cake 250g,Groceries,Bakery,,60.0
